Question,Achiever,Explorer,Socializer,Influencer,Least risk averse,Less risk averse,More risk averse,Most risk averse,Most susceptible,More susceptible,Less susceptible,Least susceptible,Gen-Z,Millenial,Gen-X (younger),Gen-X (older),Boomer,Silent,Owner,Renter,Experimenter,Trendy,Follower,Luddite
You're one step away from reaching the next level in an online game. What do you believe would accelerate your progress towards that goal?,Pursue higher leaderboard rankings for better rewards,Venture into a new map in the game,Collaborate with fellow players to form a team,Broadcast my gameplay online to receive more points,,,,,,,,,,,,,,,,,,,,
What approach would you consider to earn a free smartwatch from the fitness program organized by your community?,Engage in daily workouts to advance in the fitness program,Learn how the fitness program policy works,Become involved in the fitness community by joining various classes,Invite my friends to join the fitness program,,,,,,,,,,,,,,,,,,,,
"Your favorite restaurant is offering a giveaway , which of the following activities would you be willing to do in order to receive the giveaway?",Beat the food eating challenge,Try different dishes on the seasonal menu,Bring a friend to dine in together,Rate and review the food online,,,,,,,,,,,,,,,,,,,,
"When playing Monopoly with your friends, which of the following options best describes your strategy?",Dominate the board by buying a majority of the properties,Thoroughly learn the game rules before playing,Cooperate with other players as much as possible,Convince other players to adopt new rules for the game,,,,,,,,,,,,,,,,,,,,
"You participate in a contest to win a pair of concert tickets featuring your favorite band, what are you willing to do to win the tickets?",Win eligibility from the band's loyalty quiz,Listen to a designated new music genre for 1 week,Attend the band’s meet and greet event,Share organizer’s post on your social media and tag 3 friends under the comment section,,,,,,,,,,,,,,,,,,,,
"When engaging in a new game for the very first time, which of the following options best reflects your approach to playing?",I aim to rapidly improve my skills in the game,I initiate the game without instructions,I befriend experienced players to learn and make connections,I enjoy expressing my initial thoughts and reactions of the game online,,,,,,,,,,,,,,,,,,,,
"When looking for a credit card, which of the following factors holds the highest importance to you?",Advance analytics tool to keep track of my spending,Constantly updated benefits and offers from brand partners,Ability to add someone to my account,High reward points when referring friends,,,,,,,,,,,,,,,,,,,,
"When coordinating an event, what approach would you consider as your most effective plan of action?",Create a plan to ensure each task is completed on time,Brainstorm fun activities to captivate and involve the guests during the event,Verbally advertise the event to my friends to generate interest and participation,Utilize online advertising methods to promote the event and increase its visibility,,,,,,,,,,,,,,,,,,,,
Which of the following options would you choose when purchasing your favorite latest phone?,,,,,Pay full amount to purchase the phone,"Lease-to-own phone, decide after 6 months",Plan the monthly payment with your credit card with potential interest rate,Commit a mobile plan for 3 years with zero down payment for the phone,,,,,,,,,,,,,,,,
You just spent $80 on a buffet dinner and they gave you a 30-day voucher. What voucher option would motivate you to revisit the restaurant?,,,,,,,,,One free cocktail from a top class bartender,Get 15% off an afternoon tea & pastries combo for minimum of 2 people,Get $30 off the total bill with a minimum of 3 people at the table,Not willing to revisit the restaurant within the next 30 days,,,,,,,,,,,,
What is your age group?,,,,,,,,,,,,,18 to 24,25 to 34,35 to 44,45 to 54,55 to 64,65 or over,,,,,,
What state do you live in?,,,,,,,,,,,,,,,,,,,,,,,,
Do you rent or own your house?,,,,,,,,,,,,,,,,,,,I am a homeowner,I am a renter,,,,
How often do you try out new gadgets or software applications?,,,,,,,,,,,,,,,,,,,,,Regularly,Occasionally,Rarely,Never
