Timestamp,"You're one step away from reaching the next level in an online game. What do you believe would accelerate your progress towards that goal?","What approach would you consider to earn a free smartwatch from the fitness program organized by your community?","Your favorite restaurant is offering a giveaway , which of the following activities would you be willing to do in order to receive the giveaway?","When playing Monopoly with your friends, which of the following options best describes your strategy?","You participate in a contest to win a pair of concert tickets featuring your favorite band, what are you willing to do to win the tickets?","When engaging in a new game for the very first time, which of the following options best reflects your approach to playing?","When looking for a credit card, which of the following factors holds the highest importance to you?","When coordinating an event, what approach would you consider as your most effective plan of action?","Which of the following options would you choose when purchasing your favorite latest phone?","You just spent $80 on a buffet dinner and they gave you a 30-day voucher. What voucher option would motivate you to revisit the restaurant?","What is your age group?","What state do you live in?","Do you rent or own your house?","How often do you try out new gadgets or software applications?"
2024-01-06,"Pursue higher leaderboard rankings for better rewards","Invite my friends to join the fitness program","Bring a friend to dine in together","Dominate the board by buying a majority of the properties","Share organizer’s post on your social media and tag 3 friends under the comment section","I initiate the game without instructions","Constantly updated benefits and offers from brand partners","Utilize online advertising methods to promote the event and increase its visibility","Plan the monthly payment with your credit card with potential interest rate","Get 15% off an afternoon tea & pastries combo for minimum of 2 people","35 to 44",TEST,"I am a renter","Regularly"
2024-01-06,"Pursue higher leaderboard rankings for better rewards","Invite my friends to join the fitness program","Beat the food eating challenge","Cooperate with other players as much as possible","Attend the band’s meet and greet event","I aim to rapidly improve my skills in the game","Constantly updated benefits and offers from brand partners","Brainstorm fun activities to captivate and involve the guests during the event","Commit a mobile plan for 3 years with zero down payment for the phone","Get 15% off an afternoon tea & pastries combo for minimum of 2 people","55 to 64",TEST,"I am a renter","Rarely"
2024-01-06,"Venture into a new map in the game","Engage in daily workouts to advance in the fitness program","Rate and review the food online","Dominate the board by buying a majority of the properties","Win eligibility from the band's loyalty quiz","I aim to rapidly improve my skills in the game","High reward points when referring friends","Brainstorm fun activities to captivate and involve the guests during the event","Plan the monthly payment with your credit card with potential interest rate","One free cocktail from a top class bartender","65 or over",TEST,"I am a homeowner","Occasionally"
2024-01-06,"Broadcast my gameplay online to receive more points","Become involved in the fitness community by joining various classes","Beat the food eating challenge","Convince other players to adopt new rules for the game","Listen to a designated new music genre for 1 week","I befriend experienced players to learn and make connections","Constantly updated benefits and offers from brand partners","Utilize online advertising methods to promote the event and increase its visibility","Commit a mobile plan for 3 years with zero down payment for the phone","Get $30 off the total bill with a minimum of 3 people at the table","65 or over",TEST,"I am a renter","Rarely"
2024-01-06,"Venture into a new map in the game","Become involved in the fitness community by joining various classes","Beat the food eating challenge","Dominate the board by buying a majority of the properties","Share organizer’s post on your social media and tag 3 friends under the comment section","I enjoy expressing my initial thoughts and reactions of the game online","Advance analytics tool to keep track of my spending","Verbally advertise the event to my friends to generate interest and participation","Pay full amount to purchase the phone","One free cocktail from a top class bartender","55 to 64",TEST,"I am a renter","Never"
2024-01-06,"Pursue higher leaderboard rankings for better rewards","Engage in daily workouts to advance in the fitness program","Bring a friend to dine in together","Cooperate with other players as much as possible","Attend the band’s meet and greet event","I aim to rapidly improve my skills in the game","Constantly updated benefits and offers from brand partners","Brainstorm fun activities to captivate and involve the guests during the event","Lease-to-own phone, decide after 6 months","One free cocktail from a top class bartender","25 to 34",TEST,"I am a renter","Rarely"
2024-01-06,"Pursue higher leaderboard rankings for better rewards","Invite my friends to join the fitness program","Rate and review the food online","Convince other players to adopt new rules for the game","Win eligibility from the band's loyalty quiz","I enjoy expressing my initial thoughts and reactions of the game online","High reward points when referring friends","Verbally advertise the event to my friends to generate interest and participation","Lease-to-own phone, decide after 6 months","One free cocktail from a top class bartender","18 to 24",TEST,"I am a homeowner","Never"
2024-01-06,"Broadcast my gameplay online to receive more points","Learn how the fitness program policy works","Bring a friend to dine in together","Convince other players to adopt new rules for the game","Attend the band’s meet and greet event","I enjoy expressing my initial thoughts and reactions of the game online","High reward points when referring friends","Brainstorm fun activities to captivate and involve the guests during the event","Commit a mobile plan for 3 years with zero down payment for the phone","Not willing to revisit the restaurant within the next 30 days","65 or over",TEST,"I am a renter","Regularly"
2024-01-06,"Collaborate with fellow players to form a team","Engage in daily workouts to advance in the fitness program","Try different dishes on the seasonal menu","Dominate the board by buying a majority of the properties","Share organizer’s post on your social media and tag 3 friends under the comment section","I aim to rapidly improve my skills in the game","Ability to add someone to my account","Brainstorm fun activities to captivate and involve the guests during the event","Plan the monthly payment with your credit card with potential interest rate","One free cocktail from a top class bartender","25 to 34",TEST,"I am a homeowner","Regularly"
2024-01-06,"Collaborate with fellow players to form a team","Engage in daily workouts to advance in the fitness program","Beat the food eating challenge","Thoroughly learn the game rules before playing","Listen to a designated new music genre for 1 week","I enjoy expressing my initial thoughts and reactions of the game online","Ability to add someone to my account","Brainstorm fun activities to captivate and involve the guests during the event","Lease-to-own phone, decide after 6 months","One free cocktail from a top class bartender","35 to 44",TEST,"I am a renter","Rarely"
2024-01-06,"Collaborate with fellow players to form a team","Learn how the fitness program policy works","Try different dishes on the seasonal menu","Convince other players to adopt new rules for the game","Listen to a designated new music genre for 1 week","I enjoy expressing my initial thoughts and reactions of the game online","High reward points when referring friends","Utilize online advertising methods to promote the event and increase its visibility","Plan the monthly payment with your credit card with potential interest rate","Get $30 off the total bill with a minimum of 3 people at the table","18 to 24",TEST,"I am a renter","Occasionally"
